date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:44:49	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2268b07f00-239b%22	https://isfay.github.io/robots.txt		(from )
16:44:49	13466/13466	---M-Z	200	added ('OK')	text/html	etag:W/%2268c5ee86-349a%22	https://isfay.github.io/960/	C:/Users/MGHONEIM/Desktop/New%20folder/web/isfay.github.io/960/index.html	(from )
16:44:49	20997/20997	---M-Z	200	added ('OK')	text/css	etag:W/%2268c5ee86-5205%22	https://isfay.github.io/960/css/index.css	C:/Users/MGHONEIM/Desktop/New%20folder/web/isfay.github.io/960/css/index.css	(from https://isfay.github.io/960/)
16:44:50	19965/19965	---M--	200	added ('OK')	image/png	etag:%2268c5ee86-4dfd%22	https://isfay.github.io/960/youtube.png	C:/Users/MGHONEIM/Desktop/New%20folder/web/isfay.github.io/960/youtube.png	(from https://isfay.github.io/960/)
16:44:51	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2015%20Sep%202025%2013:44:38%20GMT	http://www.w3.org/2000/svg	C:/Users/MGHONEIM/Desktop/New%20folder/web/www.w3.org/2000/svg.3.delayed	(from https://isfay.github.io/960/)
16:44:51	1097382/1097382	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Sep%202025%2013:44:38%20GMT	https://www.youtube.com/@IslamFayed	C:/Users/MGHONEIM/Desktop/New%20folder/web/www.youtube.com/@IslamFayed.html	(from https://isfay.github.io/960/)
16:44:51	1515/1515	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Mar%202025%2023:44:06%20GMT	https://www.w3.org/2000/svg	C:/Users/MGHONEIM/Desktop/New%20folder/web/www.w3.org/2000/svg.html	(from https://isfay.github.io/960/)
16:44:51	15630/15630	---M-Z	200	added ('OK')	application/javascript	etag:W/%2268c5ee86-3d0e%22	https://isfay.github.io/960/js/index.js	C:/Users/MGHONEIM/Desktop/New%20folder/web/isfay.github.io/960/js/index.js	(from https://isfay.github.io/960/)
16:44:52	84624/84624	---M--	200	added ('OK')	image/png	etag:%2268c5ee86-14a90%22	https://isfay.github.io/960/css/log.png	C:/Users/MGHONEIM/Desktop/New%20folder/web/isfay.github.io/960/css/log.png	(from https://isfay.github.io/960/css/index.css)
16:44:52	306926/306926	---M--	200	added ('OK')	image/png	etag:%2268c5ee86-4aeee%22	https://isfay.github.io/960/css/logo.png	C:/Users/MGHONEIM/Desktop/New%20folder/web/isfay.github.io/960/css/logo.png	(from https://isfay.github.io/960/css/index.css)
16:44:53	359/359	---M-Z	200	added ('OK')	text/plain	date:Fri,%2006%20Jun%202025%2021:08:00%20GMT	https://www.youtube.com/robots.txt		(from https://isfay.github.io/960/)
16:44:53	0/0	---M--	204	error ('No%20Content')	text/html	date:Mon,%2015%20Sep%202025%2013:44:42%20GMT	https://www.youtube.com/error_204?t=jserror&level=ERROR	C:/Users/MGHONEIM/Desktop/New%20folder/web/www.youtube.com/error_204.89a45.delayed	(from https://www.youtube.com/@IslamFayed)
16:44:54	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Thu,%2011%20Sep%202025%2023:14:07%20GMT	https://www.youtube.com/s/desktop/1c9f2583/img/favicon.ico	C:/Users/MGHONEIM/Desktop/New%20folder/web/www.youtube.com/s/desktop/1c9f2583/img/favicon.ico	(from https://www.youtube.com/@IslamFayed)
16:44:54	3214/3214	---M--	200	added ('OK')	image/png	date:Thu,%2011%20Sep%202025%2023:14:07%20GMT	https://www.youtube.com/s/desktop/1c9f2583/img/favicon_32x32.png	C:/Users/MGHONEIM/Desktop/New%20folder/web/www.youtube.com/s/desktop/1c9f2583/img/favicon_32x32.png	(from https://www.youtube.com/@IslamFayed)
